Wavelength_nm,2026-08-02 · calibration,2026-08-02 · blank,2026-08-02 · 0.05,2026-08-02 · 0.2,2026-08-02 · 0.4,2026-08-02 · 4,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 2,2026-08-05 · 4 · rep 1,2026-08-05 · 4 · rep 2
586,,0,0.9090909090909091,88.18181818181819,375.45454545454544,4828.181818181818,346.3636363636364,90,32.72727272727273,2640,1594.5454545454545
587,,0,21.818181818181817,102.72727272727273,380,4650.909090909091,344.54545454545456,108.18181818181819,54.54545454545455,2567.2727272727275,1543.6363636363637
588,,0,36.36363636363637,93.63636363636364,367.27272727272725,4412.727272727273,335.45454545454544,99.0909090909091,44.54545454545455,2478.181818181818,1469.090909090909
589,,0,50,90.9090909090909,366.3636363636364,4235.454545454545,327.27272727272725,102.72727272727273,53.63636363636363,2365.4545454545455,1396.3636363636363
590,,0,61.81818181818182,105.45454545454545,373.6363636363636,4048.181818181818,332.72727272727275,120.9090909090909,65.45454545454545,2247.2727272727275,1357.2727272727273
591,,0,62.72727272727273,108.18181818181819,366.3636363636364,3835.4545454545455,330.90909090909093,110,65.45454545454545,2172.7272727272725,1276.3636363636363
592,,0,80,110,364.54545454545456,3687.2727272727275,340,107.27272727272727,83.63636363636364,2104.5454545454545,1230
593,,0,80.9090909090909,95.45454545454545,336.3636363636364,3520,328.1818181818182,90,65.45454545454545,2067.2727272727275,1164.5454545454545
594,,0,73.63636363636364,80.9090909090909,310,3358.181818181818,331.8181818181818,75.45454545454545,56.36363636363637,1981.8181818181818,1097.2727272727273
595,,0,84.54545454545455,90,320.90909090909093,3168.181818181818,324.54545454545456,70,62.72727272727273,1893.6363636363637,1032.7272727272727
596,,0,89,90,310,3116,324.54545454545456,65,59,1871,1000
597,,0,96.66666666666667,85.55555555555556,313.3333333333333,3050,306.3636363636364,70,62.22222222222222,1827.7777777777778,982.2222222222222
598,,0,96.25,75,303.75,2967.5,299.09090909090907,58.75,61.25,1776.25,957.5
599,,0,88.57142857142857,78.57142857142857,307.14285714285717,2891.4285714285716,297.27272727272725,58.57142857142857,74.28571428571429,1714.2857142857142,921.4285714285714
600,,0,88.33333333333333,66.66666666666667,283.3333333333333,2788.3333333333335,286.3636363636364,31.666666666666668,60,1695,868.3333333333334
601,,,,,,,278.1818181818182,,,,
602,,,,,,,280.90909090909093,,,,
603,,,,,,,269.09090909090907,,,,
604,,,,,,,270,,,,
605,,,,,,,260,,,,
606,,,,,,,262.72727272727275,,,,
607,,,,,,,262.72727272727275,,,,
608,,,,,,,275.45454545454544,,,,
609,,,,,,,265.45454545454544,,,,
610,,,,,,,254.54545454545453,,,,
611,,,,,,,260,,,,
612,,,,,,,269.09090909090907,,,,
613,,,,,,,260.90909090909093,,,,
614,,,,,,,257.27272727272725,,,,
615,,,,,,,267.27272727272725,,,,
616,,,,,,,272.72727272727275,,,,
617,,,,,,,274.54545454545456,,,,
618,,,,,,,274.54545454545456,,,,
619,,,,,,,275.45454545454544,,,,
620,,,,,,,292.72727272727275,,,,
621,,,,,,,296.3636363636364,,,,
622,,,,,,,294.54545454545456,,,,
623,,,,,,,290,,,,
624,,,,,,,289.09090909090907,,,,
625,,,,,,,286.3636363636364,,,,
626,,,,,,,280.90909090909093,,,,
627,,,,,,,275.45454545454544,,,,
628,,,,,,,263.6363636363636,,,,
629,,,,,,,256.3636363636364,,,,
630,,,,,,,253.63636363636363,,,,
631,,,,,,,240,,,,
632,,,,,,,243.63636363636363,,,,
633,,,,,,,240,,,,
634,,,,,,,234.54545454545453,,,,
635,,,,,,,242.72727272727272,,,,
636,,,,,,,261.8181818181818,,,,
637,,,,,,,265.45454545454544,,,,
638,,,,,,,260.90909090909093,,,,
639,,,,,,,263.6363636363636,,,,
640,,,,,,,261.8181818181818,,,,
641,,,,,,,264.54545454545456,,,,
642,,,,,,,265.45454545454544,,,,
643,,,,,,,264.54545454545456,,,,
644,,,,,,,260,,,,
645,,,,,,,267.27272727272725,,,,
646,,,,,,,261.8181818181818,,,,
647,,,,,,,243.63636363636363,,,,
648,,,,,,,241.8181818181818,,,,
649,,,,,,,244.54545454545453,,,,
650,,,,,,,243.63636363636363,,,,
651,,,,,,,252.72727272727272,,,,
652,,,,,,,246.36363636363637,,,,
